Mileage,Power,Transmission,Fuel,Drive_type,Doors,Seats,CO2_emissions,Engine_capacity,Emission_class,Year,Make,Body,Interior_material,price,Link
21620,109.0,1,1,0,1,5,109.0,999.0,3,2023,Škoda,Hatchback,Other interior material,19549,/car/69867395/skoda-scala-1-0-tsi-ambition-81-kw
25020,109.0,1,1,0,1,5,109.0,999.0,3,2023,Škoda,Hatchback,Other interior material,19549,/car/69867282/skoda-scala-1-0-tsi-ambition-81-kw
136334,188.0,0,0,0,1,5,114.0,1995.0,1,2018,BMW,Station Wagon,Full leather interior,24149,/car/69867178/bmw-520d-touring-140-kw
25000,129.0,0,1,0,1,5,99.0,1199.0,3,2023,Opel,Hatchback,Other interior material,19599,/car/69866886/opel-corsa-1-2-96-kw
91911,114.0,1,0,0,1,5,105.0,1968.0,2,2020,Audi,Hatchback,Full leather interior,23349,/car/69866084/audi-a3-30-tdi-85-kw
132800,134.0,0,0,0,1,5,166.0,2143.0,1,2019,Mercedes-Benz,Station Wagon,Full leather interior,19049,/car/69865283/mercedes-benz-cla-200-shooting-brake-d-100-kw
64121,114.0,0,1,0,1,5,116.0,999.0,2,2020,Škoda,Hatchback,Cloth interior,19549,/car/69864674/skoda-scala-1-0-tsi-dsg-85-kw
25573,129.0,0,1,0,1,5,99.0,1199.0,3,2023,Opel,Hatchback,Other interior material,19599,/car/69864515/opel-corsa-1-2-96-kw
23626,129.0,0,1,0,1,5,99.0,1199.0,3,2023,Opel,Hatchback,Other interior material,19599,/car/69864147/opel-corsa-1-2-96-kw
24621,129.0,0,1,0,1,5,99.0,1199.0,3,2023,Opel,Hatchback,Other interior material,19599,/car/69863653/opel-corsa-1-2-96-kw
19000,148.0,0,0,1,1,5,126.0,1995.0,1,2020,BMW,SUV / offroad,Full leather interior,30899,/car/69863189/bmw-x1-xdrive18d-110-kw
27201,129.0,0,1,0,1,5,99.0,1199.0,3,2023,Opel,Hatchback,Other interior material,19599,/car/69863085/opel-corsa-1-2-96-kw
96500,114.0,1,1,0,1,5,112.0,999.0,2,2019,Volkswagen,Hatchback,Other interior material,17549,/car/69862683/volkswagen-golf-1-0-85-kw
10,129.0,1,1,1,1,5,137.0,1199.0,1,2024,Dacia,SUV / offroad,Cloth interior,33399,/car/69861969/dacia-duster-tce-130-96-kw
17914,129.0,0,1,0,1,5,99.0,1199.0,3,2023,Opel,Hatchback,Other interior material,19599,/car/69861216/opel-corsa-1-2-96-kw
27932,129.0,0,1,0,1,5,99.0,1199.0,3,2023,Opel,Hatchback,Other interior material,19599,/car/69860679/opel-corsa-1-2-96-kw
23626,129.0,0,1,0,1,5,99.0,1199.0,3,2023,Opel,Hatchback,Other interior material,19599,/car/69860661/opel-corsa-1-2-96-kw
51000,553.0,0,2,1,1,4,49.0,2894.0,3,2021,Porsche,Station Wagon,Full leather interior,105199,/car/69860071/porsche-panamera-4-s-e-hybrid-412-kw
24855,129.0,0,1,0,1,5,99.0,1199.0,3,2023,Opel,Hatchback,Other interior material,19599,/car/69859826/opel-corsa-1-2-96-kw
115000,188.0,0,0,1,1,5,146.0,1968.0,1,2020,Audi,SUV / offroad,Cloth interior,35399,/car/69859623/audi-q3-40-tdi-quattro-s-tronic-140-kw
15,138.0,1,2,0,1,5,108.0,1482.0,1,2024,Hyundai,Sedans / saloons,Cloth interior,26199,/car/69859528/hyundai-i30-t-gdi-103-kw
15,138.0,1,2,0,1,5,108.0,1482.0,1,2024,Hyundai,Sedans / saloons,Cloth interior,26199,/car/69859528/hyundai-i30-t-gdi-103-kw
25573,129.0,0,1,0,1,5,99.0,1199.0,3,2023,Opel,Hatchback,Other interior material,19599,/car/69859189/opel-corsa-1-2-96-kw
111000,114.0,0,0,0,1,5,122.0,1598.0,2,2020,Škoda,SUV / offroad,Other interior material,23949,/car/69858911/skoda-karoq-1-6-tdi-dsg-85-kw
61800,148.0,1,1,0,1,5,123.0,1496.0,2,2018,Ford,Sedans / saloons,Cloth interior,18599,/car/69858720/ford-focus-1-5-ecoboost-active-110-kw
109000,118.0,1,0,0,1,5,98.0,1499.0,1,2020,Ford,Station Wagon,Cloth interior,13899,/car/69857996/ford-focus-1-5-ecoblue-88-kw
23938,148.0,1,1,0,1,5,123.0,1498.0,3,2023,Škoda,SUV / offroad,Other interior material,25999,/car/69857854/skoda-karoq-1-5-tsi-act-ambition-110-kw
20,138.0,0,1,0,1,5,142.0,1482.0,1,2024,Kia,Hatchback,Part leather interior,32799,/car/69857566/kia-proceed-103-kw
20,138.0,0,1,0,1,5,142.0,1482.0,1,2024,Kia,Hatchback,Part leather interior,32799,/car/69857566/kia-proceed-103-kw
67000,197.0,0,1,0,1,5,136.0,1984.0,3,2020,Audi,Hatchback,Part leather interior,29299,/car/69856720/audi-a1-40-tfsi-s-tronic-s-line-147-kw
3875,577.0,0,1,1,1,4,301.0,3982.0,3,2023,Mercedes-Benz,Coupe,Full leather interior,151449,/car/69856416/mercedes-benz-amg-gt-63-4matic-430-kw
0,162.0,0,1,0,1,5,159.0,1998.0,3,2024,Mazda,Sedans / saloons,Full leather interior,40549,/car/69856375/mazda-6-121-kw
39000,74.0,1,1,0,1,5,93.0,1199.0,1,2020,Opel,Hatchback,Other interior material,12899,/car/69856161/opel-corsa-1-2-elegance-55-kw
10,138.0,0,2,0,1,5,89.0,1798.0,2,2024,Toyota,Station Wagon,Cloth interior,30999,/car/69855460/toyota-corolla-1-8-hybrid-touring-sports-103-kw
21336,109.0,1,1,0,1,5,109.0,999.0,3,2023,Škoda,Hatchback,Other interior material,19049,/car/69854590/skoda-scala-1-0-tsi-ambition-81-kw
19268,221.0,0,2,0,1,5,39.0,1598.0,3,2022,Citroën,SUV / offroad,Other interior material,26649,/car/69852370/citroen-c5-aircross-165-kw
64121,114.0,0,1,0,1,5,116.0,999.0,2,2020,Škoda,Hatchback,Cloth interior,19549,/car/69852101/skoda-scala-1-0-tsi-dsg-85-kw
128300,148.0,0,0,0,1,5,133.0,1968.0,1,2021,Škoda,SUV / offroad,Other interior material,31049,/car/69852046/skoda-kodiaq-2-0-tdi-dsg-style-110-kw
174,99.0,1,1,0,1,5,129.0,1199.0,2,2024,Jeep,SUV / offroad,Other interior material,21099,/car/69851928/jeep-avenger-1-2-74-kw
10,282.0,0,0,1,1,5,184.0,2967.0,1,2024,Volkswagen,SUV / offroad,Full leather interior,84999,/car/69851399/volkswagen-touareg-3-0-tdi-4motion-210-kw
25,127.0,1,1,1,1,5,132.0,1400.0,1,2024,Suzuki,SUV / offroad,Cloth interior,27099,/car/69851263/suzuki-sx4-s-cross-s-cross-1-4-comfort-allgrip-95-kw
15,89.0,1,1,0,1,5,135.0,999.0,1,2024,Dacia,Sedans / saloons,Cloth interior,19749,/car/69851233/dacia-logan-66-kw
24218,188.0,0,1,1,1,5,145.0,1984.0,3,2024,Volkswagen,SUV / offroad,Part leather interior,36299,/car/69851209/volkswagen-t-roc-2-0-tsi-4motion-dsg-140-kw
10,201.0,0,0,1,1,5,180.0,1968.0,1,2024,Volkswagen,Cargo VAN,Cloth interior,80799,/car/69851181/volkswagen-t6-california-tdi-beach-camper-4motion-dsg-150-kw
5,114.0,0,1,0,1,2,134.0,1498.0,3,2024,Volkswagen,Cargo VAN,Cloth interior,37999,/car/69851058/volkswagen-caddy-cargo-maxi-85-kw
10,114.0,1,1,0,1,5,111.0,999.0,3,2024,Volkswagen,SUV / offroad,Cloth interior,25499,/car/69851020/volkswagen-taigo-1-0-tsi-85-kw
